id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
1,Chief Communications Officer,A1_Signer,Communications,Corporate Communications,C-Suite,13,Economic Buyer,Enterprise,Unlimited,No,Is Decision Maker,Chief Executive Officer,Enterprise,Signs enterprise-scale commitments; final word on spend in this function.,2,"Business outcome in one line, peer or competitor proof, zero feature talk.","Worth 15 minutes, or point me to the right owner?"
2,"Executive Vice President, Communications",A1_Signer,Communications,Corporate Communications,EVP / President,12,Economic Buyer,Enterprise,$5M+,No,Is Decision Maker,Chief Executive Officer,Enterprise,Signs enterprise-scale commitments; final word on spend in this function.,2,"Business outcome in one line, peer or competitor proof, zero feature talk.","Worth 15 minutes, or point me to the right owner?"
3,"Group Executive Vice President, Communications",A1_Signer,Communications,Corporate Communications,EVP / President,12,Economic Buyer,Enterprise,$5M+,No,Is Decision Maker,Chief Executive Officer,Enterprise,Signs enterprise-scale commitments; final word on spend in this function.,2,"Business outcome in one line, peer or competitor proof, zero feature talk.","Worth 15 minutes, or point me to the right owner?"
4,Head of Corporate Affairs,A1_Signer,Communications,Corporate Communications,EVP / President,12,Economic Buyer,Enterprise,$5M+,No,Is Decision Maker,Chief Executive Officer,Enterprise,Signs enterprise-scale commitments; final word on spend in this function.,2,"Business outcome in one line, peer or competitor proof, zero feature talk.","Worth 15 minutes, or point me to the right owner?"
5,"Group Vice President, Global Corporate Communications",A2_Budget_Holder,Communications,Corporate Communications,Senior Vice President,11,Budget Holder,Divisional,$5M+,No,Is Decision Maker,Chief Communications Officer,Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
6,"Senior Vice President, Global Corporate Communications",A2_Budget_Holder,Communications,Corporate Communications,Senior Vice President,11,Budget Holder,Divisional,$5M+,No,Is Decision Maker,Chief Communications Officer,Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
7,"Vice President, Corporate Communications",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
8,"Vice President, Corporate Communications - APAC",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",APAC,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
9,"Vice President, Corporate Communications - EMEA",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",EMEA,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
10,"Vice President, Corporate Communications - Greater China",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Greater China,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
